DbName,Operation,CurrentSet,TransactionsNumber,TimeInMilliseconds

mssql,Upload,1,1,32565
mssql,Upload,1,2,20831
mssql,Upload,1,3,21363
mssql,Upload,1,4,21615
mssql,Upload,1,5,20266
mssql,Upload,1,6,17952
mssql,Upload,1,7,18332
mssql,Upload,1,8,16424
mssql,Upload,1,9,13800
mssql,Download,1,1,190082
mssql,RAM,1,1,1693
mssql,Upload,2,1,28781
mssql,Upload,2,2,21069
mssql,Upload,2,3,21582
mssql,Upload,2,4,19814
mssql,Upload,2,5,25347
mssql,Upload,2,6,18121
mssql,Upload,2,7,18102
mssql,Upload,2,8,16424
mssql,Upload,2,9,13819
mssql,Download,2,1,191907
mssql,RAM,2,1,1693
mssql,Upload,3,1,29082
mssql,Upload,3,2,20915
mssql,Upload,3,3,21627
mssql,Upload,3,4,23395
mssql,Upload,3,5,21543
mssql,Upload,3,6,17954
mssql,Upload,3,7,17883
mssql,Upload,3,8,16191
mssql,Upload,3,9,13749
mssql,Download,3,1,198728
mssql,RAM,3,1,1940
mssql,Upload,4,1,28756
mssql,Upload,4,2,20893
mssql,Upload,4,3,21561
mssql,Upload,4,4,23355
mssql,Upload,4,5,21556
mssql,Upload,4,6,17811
mssql,Upload,4,7,18257
mssql,Upload,4,8,16361
mssql,Upload,4,9,13508
mssql,Download,4,1,197729
mssql,RAM,4,1,1754
mssql,Upload,5,1,28697
mssql,Upload,5,2,20977
mssql,Upload,5,3,21539
mssql,Upload,5,4,19552
mssql,Upload,5,5,22014
mssql,Upload,5,6,17826
mssql,Upload,5,7,18125
mssql,Upload,5,8,16398
mssql,Upload,5,9,13576
mssql,Download,5,1,195513
mssql,RAM,5,1,1655
oracle,Upload,1,1,110092
oracle,Upload,1,2,96870
oracle,Upload,1,3,91605
oracle,Upload,1,4,88779
oracle,Upload,1,5,82967
oracle,Upload,1,6,78094
oracle,Upload,1,7,72680
oracle,Upload,1,8,74931
oracle,Upload,1,9,47771
oracle,Download,1,1,160467
